BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,TOTAL_INJURED,TOTAL_KILLED,PEDESTRIANS_INJURED,PEDESTRIANS_KILLED,CYCLIST_INJURED,CYCLIST_KILLED,MOTORIST_INJURED,MOTORIST_KILLED,CONTRIBUTING_FACTOR_VEHICLE1,VEHICLE_TYPE_CODE1,CRASH_DATETIME
BROOKLYN,11216,40.68005,-73.94327,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-25 20:00:00
MANHATTAN,10024,40.787685,-73.97502,0.0,0.0,0,0,0,0,0,0,Driver Inexperience,Taxi,2018-09-25 12:30:00
MANHATTAN,10011.0,40.742283,-74.004425,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Taxi,2018-09-30 03:30:00
BRONX,10456.0,40.837864,-73.9114,1.0,0.0,1,0,0,0,0,0,Unspecified,Taxi,2018-09-26 07:41:00
MANHATTAN,10011,40.745293,-73.9985,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-25 14:30:00
QUEENS,11436,40.683094,-73.80596,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Ambulance,2018-09-25 12:40:00
MANHATTAN,10023,40.77548,-73.98021,1.0,0.0,1,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-30 11:58:00
BROOKLYN,11208,40.682037,-73.87788,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-23 05:08:00
MANHATTAN,10011.0,40.745293,-73.9985,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Taxi,2018-09-26 13:30:00
MANHATTAN,10003,40.732162,-73.99431,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-25 11:45:00
BRONX,10462.0,40.83442,-73.86297,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Taxi,2018-09-30 16:24:00
MANHATTAN,10162,40.775963,-73.94248,2.0,0.0,0,0,0,0,2,0,Driver Inattention/Distraction,Taxi,2018-09-28 17:20:00
MANHATTAN,10022.0,40.758537,-73.97721,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-28 20:50:00
MANHATTAN,10016.0,40.743473,-73.97677,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Taxi,2018-09-22 00:40:00
MANHATTAN,10021.0,40.765545,-73.95471,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-29 10:00:00
BROOKLYN,11237.0,40.701614,-73.914856,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Ambulance,2018-09-27 22:35:00
MANHATTAN,10010.0,40.73855,-73.98043,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Taxi,2018-09-29 07:45:00
MANHATTAN,10010,40.74147,-73.985435,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Taxi,2018-09-30 02:30:00
BROOKLYN,11211.0,40.71432,-73.956924,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Ambulance,2018-09-24 17:40:00
MANHATTAN,10027,40.810764,-73.9526,2.0,0.0,0,0,0,0,2,0,Unsafe Lane Changing,Ambulance,2018-09-29 12:20:00
MANHATTAN,10002.0,40.723392,-73.992874,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-23 16:00:00
MANHATTAN,10018.0,40.752316,-73.985954,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-28 02:30:00
