BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,CONTRIBUTING_FACTOR_VEHICLE1,VEHICLE_TYPE_CODE1,CRASH_DATETIME,MONTH,HOUR,DAY_WEEK,DAY,CASUALTIES,icon
MANHATTAN,10018.0,40.757732,-73.99686,Driver Inattention/Distraction,Taxi,2018-07-30 12:43:00,July,12,Monday,30,No Damage,rain
MANHATTAN,10065.0,40.768543,-73.9657,Traffic Control Disregarded,Taxi,2018-08-01 00:22:00,August,0,Wednesday,1,No Damage,rain
MANHATTAN,10013.0,40.722385,-74.00378,Failure to Yield Right-of-Way,Taxi,2018-08-02 01:00:00,August,1,Thursday,2,No Damage,rain
BROOKLYN,11238.0,40.682888,-73.96403,Turning Improperly,Taxi,2018-07-31 20:03:00,July,20,Tuesday,31,No Damage,partly-cloudy
BRONX,10451.0,40.822838,-73.928764,Turning Improperly,Taxi,2018-08-02 21:40:00,August,21,Thursday,2,No Damage,rain
BROOKLYN,11236.0,40.641556,-73.89517,Fell Asleep,Taxi,2018-08-01 02:20:00,August,2,Wednesday,1,No Damage,rain
BROOKLYN,11207.0,40.665707,-73.89135,Passing Too Closely,Ambulance,2018-08-01 09:45:00,August,9,Wednesday,1,No Damage,rain
MANHATTAN,10022.0,40.757637,-73.96342,Driver Inattention/Distraction,Taxi,2018-08-02 07:30:00,August,7,Thursday,2,No Damage,rain
MANHATTAN,10011.0,40.746857,-74.008,Following Too Closely,Taxi,2018-08-01 19:08:00,August,19,Wednesday,1,No Damage,rain
BROOKLYN,11221.0,40.68851,-73.918335,Passing or Lane Usage Improper,Taxi,2018-07-31 18:00:00,July,18,Tuesday,31,No Damage,partly-cloudy
MANHATTAN,10010.0,40.738316,-73.98563,Unspecified,Taxi,2018-08-01 11:45:00,August,11,Wednesday,1,No Damage,rain
QUEENS,11367.0,40.718395,-73.826385,Following Too Closely,Taxi,2018-08-01 05:00:00,August,5,Wednesday,1,No Damage,rain
MANHATTAN,10027.0,40.809692,-73.94409,Driver Inattention/Distraction,Taxi,2018-08-01 14:40:00,August,14,Wednesday,1,No Damage,rain
MANHATTAN,10022.0,40.7606,-73.96434,Driver Inattention/Distraction,Taxi,2018-07-31 22:40:00,July,22,Tuesday,31,No Damage,partly-cloudy
BROOKLYN,11226.0,40.64787,-73.95574,Other Vehicular,Taxi,2018-07-31 02:45:00,July,2,Tuesday,31,No Damage,partly-cloudy
